Week starting,Language,Country code,Tweets
#date+week_start,#meta+lang,#country+code+v_iso2,#indicator+tweets
9/06/2019,en,DNK,2
9/06/2019,en,DOM,1
9/06/2019,en,ECU,1
9/06/2019,en,ESP,31
9/06/2019,en,ETH,1
9/06/2019,en,FIN,8
9/06/2019,en,FJI,1
9/06/2019,en,FRA,13
9/06/2019,en,GBR,87
9/06/2019,en,GHA,7
9/06/2019,en,GRC,8
9/06/2019,en,HRV,2
9/06/2019,en,IDN,4
9/06/2019,en,IND,16
9/06/2019,en,IRL,1
9/06/2019,en,IRN,4
9/06/2019,en,ISR,1
9/06/2019,en,ITA,10
9/06/2019,en,JAM,3
9/06/2019,en,JPN,8
9/06/2019,en,KEN,12
9/06/2019,en,KOR,1
9/06/2019,en,LAO,1
9/06/2019,en,LCA,1
9/06/2019,en,MAR,4
9/06/2019,en,MEX,2
9/06/2019,en,MKD,1
9/06/2019,en,MNP,1
9/06/2019,en,MOZ,1
9/06/2019,en,MYS,1
9/06/2019,en,NGA,43
9/06/2019,en,NLD,5
9/06/2019,en,NOR,3
9/06/2019,en,NPL,1
9/06/2019,en,OMN,4
9/06/2019,en,PAK,4
9/06/2019,en,PHL,4
9/06/2019,en,POL,1
9/06/2019,en,PRT,1
9/06/2019,en,RWA,1
9/06/2019,en,SVK,1
9/06/2019,en,SVN,1
9/06/2019,en,SWE,1
9/06/2019,en,TTO,2
9/06/2019,en,TUN,4
9/06/2019,en,TUR,4
9/06/2019,en,TWN,1
9/06/2019,en,TZA,2
9/06/2019,en,UGA,11
9/06/2019,en,UKR,1
9/06/2019,en,USA,1501
9/06/2019,en,VEN,1
9/06/2019,en,ZAF,11
9/06/2019,en,ZMB,1
9/06/2019,fr,,11
9/06/2019,fr,FRA,11
9/06/2019,fr,GIN,1
9/06/2019,fr,SEN,6
16/06/2019,ar,,4
16/06/2019,ar,BEL,1
16/06/2019,ar,CAN,1
16/06/2019,ar,GBR,1
16/06/2019,ar,LBN,1
16/06/2019,ar,PSE,2
16/06/2019,en,,968
16/06/2019,en,AFG,4
16/06/2019,en,AND,1
16/06/2019,en,ARE,5
16/06/2019,en,ARG,2
16/06/2019,en,ATF,1
16/06/2019,en,AUS,2
16/06/2019,en,AUT,1
16/06/2019,en,BEL,1
16/06/2019,en,BFA,1
16/06/2019,en,BRA,1
16/06/2019,en,CAN,85
16/06/2019,en,CHE,4
16/06/2019,en,CHN,6
16/06/2019,en,COL,1
16/06/2019,en,CYP,1
16/06/2019,en,DEU,10
16/06/2019,en,DNK,2
16/06/2019,en,ESP,14
16/06/2019,en,EST,1
16/06/2019,en,ETH,6
16/06/2019,en,FIN,10
16/06/2019,en,FRA,14
16/06/2019,en,GBR,76
16/06/2019,en,GGY,1
16/06/2019,en,GHA,10
16/06/2019,en,GRC,10
16/06/2019,en,HUN,1
16/06/2019,en,IDN,6
16/06/2019,en,IND,13
16/06/2019,en,IRL,3
16/06/2019,en,IRN,7
16/06/2019,en,ISR,1
16/06/2019,en,ITA,4
16/06/2019,en,JAM,2
16/06/2019,en,JPN,9
16/06/2019,en,KAZ,1
16/06/2019,en,KEN,111
16/06/2019,en,LBR,1
16/06/2019,en,LKA,1
16/06/2019,en,LVA,1
16/06/2019,en,MEX,6
16/06/2019,en,MKD,2
16/06/2019,en,MLT,1
16/06/2019,en,MYS,7
16/06/2019,en,NGA,25
16/06/2019,en,NLD,3
16/06/2019,en,NOR,2
16/06/2019,en,OMN,2
16/06/2019,en,PAK,10
16/06/2019,en,PHL,3
16/06/2019,en,POL,3
16/06/2019,en,PRT,3
16/06/2019,en,PRY,1
16/06/2019,en,ROU,1
16/06/2019,en,RUS,3
16/06/2019,en,SAU,1
16/06/2019,en,SDN,2
16/06/2019,en,SEN,2
16/06/2019,en,SOM,11
16/06/2019,en,SSD,1
16/06/2019,en,SVN,1
16/06/2019,en,SWZ,1
16/06/2019,en,SYR,2
16/06/2019,en,THA,1
16/06/2019,en,TUR,4
16/06/2019,en,TZA,2
16/06/2019,en,UGA,1
16/06/2019,en,USA,1978
16/06/2019,en,VEN,3
16/06/2019,en,VNM,1
16/06/2019,en,YEM,1
16/06/2019,en,ZAF,3
16/06/2019,fr,,3
16/06/2019,fr,FRA,4
23/06/2019,ar,,1
23/06/2019,en,,947
23/06/2019,en,ARE,3
23/06/2019,en,ARG,1
23/06/2019,en,ARM,1
23/06/2019,en,AUS,1
23/06/2019,en,BEL,2
23/06/2019,en,BHR,1
23/06/2019,en,BRA,1
23/06/2019,en,CAN,53
23/06/2019,en,CHE,6
23/06/2019,en,CHN,4
23/06/2019,en,DEU,8
23/06/2019,en,DNK,1
23/06/2019,en,EGY,1
23/06/2019,en,ESP,10
23/06/2019,en,FIN,11
23/06/2019,en,FRA,7
23/06/2019,en,GBR,48
23/06/2019,en,GMB,1
23/06/2019,en,GRC,9
23/06/2019,en,HND,1
23/06/2019,en,IDN,8
23/06/2019,en,IND,11
23/06/2019,en,IRL,3
23/06/2019,en,IRN,4
23/06/2019,en,IRQ,2
23/06/2019,en,ISR,3
23/06/2019,en,ITA,2
23/06/2019,en,JAM,1
23/06/2019,en,JPN,6
23/06/2019,en,KEN,37
23/06/2019,en,KHM,1
23/06/2019,en,MDG,1
23/06/2019,en,MEX,8
23/06/2019,en,MKD,2
23/06/2019,en,MNG,1
23/06/2019,en,MYS,2
23/06/2019,en,NGA,48
23/06/2019,en,NIC,1
23/06/2019,en,NLD,5
23/06/2019,en,NOR,1
23/06/2019,en,NPL,2
23/06/2019,en,NZL,4
23/06/2019,en,OMN,4
23/06/2019,en,PAK,12
23/06/2019,en,PHL,2
23/06/2019,en,POL,1
23/06/2019,en,PRT,3
23/06/2019,en,QAT,1
23/06/2019,en,ROU,1
23/06/2019,en,RWA,1
23/06/2019,en,SLV,1
23/06/2019,en,SOM,1
23/06/2019,en,SVN,1
23/06/2019,en,SWE,2
23/06/2019,en,TUR,7
23/06/2019,en,TZA,2
23/06/2019,en,UGA,1
23/06/2019,en,URY,2
23/06/2019,en,USA,2262
23/06/2019,en,ZAF,2
23/06/2019,en,ZWE,2
30/06/2019,ar,,4
30/06/2019,ar,BGD,1
30/06/2019,ar,SAU,1
30/06/2019,ar,SYR,1
30/06/2019,ar,YEM,4
30/06/2019,en,,1213
30/06/2019,en,AFG,26
30/06/2019,en,ARE,6
30/06/2019,en,AUS,2
30/06/2019,en,AUT,2
30/06/2019,en,BDI,1
30/06/2019,en,BEL,1
30/06/2019,en,BGD,3
30/06/2019,en,BHR,2
30/06/2019,en,BRA,1
30/06/2019,en,CAN,103
30/06/2019,en,CHE,5
30/06/2019,en,CHN,2
30/06/2019,en,COL,3
30/06/2019,en,CRI,1
30/06/2019,en,CYP,1
30/06/2019,en,DEU,10
30/06/2019,en,DNK,7
30/06/2019,en,EGY,2
30/06/2019,en,ESP,6
30/06/2019,en,ETH,2
30/06/2019,en,FIN,19
30/06/2019,en,FRA,16
30/06/2019,en,GBR,99
30/06/2019,en,GHA,5
30/06/2019,en,GIB,1
30/06/2019,en,GRC,5
30/06/2019,en,IDN,3
30/06/2019,en,IND,16
30/06/2019,en,IRL,1
30/06/2019,en,IRN,3
30/06/2019,en,ISR,2
30/06/2019,en,ITA,9
30/06/2019,en,JAM,2
30/06/2019,en,JPN,9
30/06/2019,en,KAZ,1
30/06/2019,en,KEN,71
30/06/2019,en,KHM,1
30/06/2019,en,KNA,1
30/06/2019,en,KOR,5
30/06/2019,en,LVA,1
30/06/2019,en,MAR,2
30/06/2019,en,MDG,1
30/06/2019,en,MEX,1
30/06/2019,en,MLI,1
30/06/2019,en,MLT,1
30/06/2019,en,MNG,1
30/06/2019,en,MSR,1
30/06/2019,en,MYS,3
30/06/2019,en,NGA,35
30/06/2019,en,NIC,2
30/06/2019,en,NLD,1
30/06/2019,en,NOR,4
30/06/2019,en,NPL,1
30/06/2019,en,NZL,3
30/06/2019,en,OMN,3
30/06/2019,en,PAK,51
30/06/2019,en,PHL,5
30/06/2019,en,POL,1
30/06/2019,en,PRK,1
